Row,Code,Industry Description,
286,492000,Couriers and messengers,
287,493000,Warehousing and storage,
288,511110,Newspaper publishers,
289,511120,Periodical Publishers,
290,511130,Book publishers,
291,5111,"Directory, mailing list, and other publishers",
292,511200,Software publishers,
293,512100,Motion picture and video industries,
294,512200,Sound recording industries,
295,515100,Radio and television broadcasting,
296,515200,Cable and other subscription programming,
297,517110,Wired telecommunications carriers,
298,517210,Wireless telecommunications carriers (except satellite),
299,517,"Satellite, telecommunications resellers, and all other telecommunications",
300,518200,"Data processing, hosting, and related services",
301,5191,"News syndicates, libraries, archives and all other information services",
302,519130,Internet publishing and broadcasting and Web search portals,
303,52,Monetary authorities and depository credit intermediation,
304,522A,Nondepository credit intermediation and related activities,
305,523,Securities and commodity contracts intermediation and brokerage,
306,523900,Other financial investment activities,
307,524100,Insurance carriers,
308,524200,"Insurance agencies, brokerages, and related activities",
309,525000,"Funds, trusts, and other financial vehicles",
310,5310,Housing and real estate,
311,532100,Automotive equipment rental and leasing,
312,532A,Consumer goods and general rental centers,
313,532400,Commercial and industrial machinery and equipment rental and leasing,
314,533000,Lessors of nonfinancial intangible assets,
315,541100,Legal services,
316,541511,Custom computer programming services,
317,541512,Computer systems design services,
318,54151,"Other computer related services, including facilities management",
319,541200,"Accounting, tax preparation, bookkeeping, and payroll services",
320,541300,"Architectural, engineering, and related services",
321,541400,Specialized design services,
322,541610,Management consulting services,
323,5416,Environmental and other technical consulting services,
324,541700,Scientific research and development services,
325,541800,"Advertising, public relations, and related services",
326,5419,"Marketing research and all other miscellaneous professional, scientific, and technical services",
327,541920,Photographic services,
328,541940,Veterinary services,
329,550000,Management of companies and enterprises,
330,561100,Office administrative services,
331,561200,Facilities support services,
332,561300,Employment services,
333,561400,Business support services,
334,561500,Travel arrangement and reservation services,
335,561600,Investigation and security services,
336,561700,Services to buildings and dwellings,
337,561900,Other support services,
338,562000,Waste management and remediation services,
339,611100,Elementary and secondary schools,
340,611,"Junior colleges, colleges, universities, and professional schools",
341,611,Other educational services,
342,621100,Offices of physicians,
343,621200,Offices of dentists,
344,621300,Offices of other health practitioners,
345,621400,Outpatient care centers,
346,621500,Medical and diagnostic laboratories,
347,621600,Home health care services,
348,621900,Other ambulatory health care services,
349,622000,Hospitals,
350,623,Nursing and community care facilities,
351,623,"Residential mental retardation, mental health, substance abuse and other facilities",
352,624100,Individual and family services,
353,624,"Community food, housing, and other relief services, including rehabilitation services",
354,624400,Child day care services,
355,711100,Performing arts companies,
356,711200,Spectator sports,
357,711,Promoters of performing arts and sports and agents for public figures,
358,711500,"Independent artists, writers, and performers",
359,712000,"Museums, historical sites, zoos, and parks",
360,713100,Amusement parks and arcades,
361,713200,Gambling industries (except casino hotels),
362,713900,Other amusement and recreation industries,
363,721000,Accommodation,
364,722110,Full-service restaurants,
365,722211,Limited-service restaurants,
366,722,All other food and drinking places,
367,811100,Automotive repair and maintenance,
368,811200,Electronic and precision equipment repair and maintenance,
369,811300,Commercial and industrial machinery and equipment repair and maintenance,
370,811400,Personal and household goods repair and maintenance,
371,812100,Personal care services,
372,812200,Death care services,
373,812300,Dry-cleaning and laundry services,
374,812900,Other personal services,
375,813100,Religious organizations,
376,813,"Grantmaking, giving, and social advocacy organizations",
377,813,"Civic, social, professional, and similar organizations",
378,814000,Private households,
379,S00000,Government,
380,11114,Biodiesel,
